,$h$,$D_+$,$D_-$,$D_0$
0,1.0,0.47247586385035456,0.30116867893975674,0.08565359245529891
1,0.5,0.22825430227582388,0.18378858653924723,0.022232857868288325
2,0.25,0.11024776767738098,0.09902659327010976,0.005610587203635609
3,0.125,0.05392943153855034,0.05111755470681567,0.001405938415867336
4,0.0625,0.026639100121346626,0.0259357188871161,0.0003516906171152634
5,0.03125,0.013234849721358355,0.01305897865217398,8.793553459218728e-05
